model effect group term estimate std.error statistic df p.value d CI CI_low CI_high ROI plotrois hemi label pCol pInd pIndFDR FDRind
54 fixed NA convgroup 0.449469015400958 0.0141226533962269 31.8261025595262 991.066806975449 1.05550694432358e-153 1.34881797551828 0.95 1.25666748873189 1.44071879599943 CTX_RH_PARSORBITALIS_SUVR rh_parsorbitalis right rh_parsorbitalis #aad6e7 1 2 1
55 fixed NA convgroup 0.426596557462809 0.0135438980261699 31.4973249679322 1013.66127867095 2.16593566229347e-152 1.33488409452672 0.95 1.2429098343715 1.42661038805327 CTX_RH_PARSTRIANGULARIS_SUVR rh_parstriangularis right rh_parstriangularis #aad6e7 1 2 1
56 fixed NA convgroup 0.297051224136082 0.0168622793746008 17.6163149439644 1074.17673060163 3.24609465377822e-61 0.74659478691645 0.95 0.660606410005528 0.832425886508522 CTX_RH_PERICALCARINE_SUVR rh_pericalcarine right rh_pericalcarine #aad6e7 1 2 1
57 fixed NA convgroup 0.288590175673377 0.0119078160431893 24.2353572331543 1045.32307271947 2.51419888996862e-103 1.02711557024757 0.95 0.938641233237267 1.11538477098018 CTX_RH_POSTCENTRAL_SUVR rh_postcentral right rh_postcentral #aad6e7 1 2 1
58 fixed NA convgroup 0.486647429057961 0.0143511573106844 33.9099780263473 1023.70114060013 1.43698827634933e-169 1.43713443472445 0.95 1.34383310867994 1.53017583716555 CTX_RH_POSTERIORCINGULATE_SUVR rh_posteriorcingulate right rh_posteriorcingulate #aad6e7 1 2 1
59 fixed NA convgroup 0.275243996567135 0.0114239086525111 24.0936797500244 1040.031658712 2.84442073901132e-102 1.02111115498453 0.95 0.93269731327062 1.10932079006185 CTX_RH_PRECENTRAL_SUVR rh_precentral right rh_precentral #aad6e7 1 2 1
60 fixed NA convgroup 0.516395509637908 0.0150922207916624 34.2160055015354 1022.03279540494 1.30872162071575e-171 1.450104145947 0.95 1.35662896485627 1.54331797265278 CTX_RH_PRECUNEUS_SUVR rh_precuneus right rh_precuneus #aad6e7 1 2 1
61 fixed NA convgroup 0.474819401401801 0.0149041289306977 31.8582456988697 1022.95284082452 2.81153896176886e-155 1.35018022978913 0.95 1.25801243795298 1.44209819635499 CTX_RH_ROSTRALANTERIORCINGULATE_SUVR rh_rostralanteriorcingulate right rh_rostralanteriorcingulate #aad6e7 1 2 1
62 fixed NA convgroup 0.532102615143175 0.0154348694040436 34.4740600787835 1022.37045811643 2.0480226442404e-173 1.46104072392748 0.95 1.3674179863777 1.55440090255078 CTX_RH_ROSTRALMIDDLEFRONTAL_SUVR rh_rostralmiddlefrontal right rh_rostralmiddlefrontal #aad6e7 1 2 1
63 fixed NA convgroup 0.459115883152545 0.0136043451246231 33.7477386046 1030.6138359411 8.96161685416911e-169 1.43025858657493 0.95 1.3370489264398 1.52320909154842 CTX_RH_SUPERIORFRONTAL_SUVR rh_superiorfrontal right rh_superiorfrontal #aad6e7 1 2 1
64 fixed NA convgroup 0.388807050211888 0.0131900084074073 29.4773921443097 1036.64601300431 3.3357908989703e-139 1.24927758029063 0.95 1.1583532117331 1.33996485849572 CTX_RH_SUPERIORPARIETAL_SUVR rh_superiorparietal right rh_superiorparietal #aad6e7 1 2 1
65 fixed NA convgroup 0.356617894985703 0.0126413024513083 28.2105341881759 1030.59234764961 3.28209574668575e-130 1.19558703554153 0.95 1.10529174772835 1.28565245642102 CTX_RH_SUPERIORTEMPORAL_SUVR rh_superiortemporal right rh_superiortemporal #aad6e7 1 2 1
66 fixed NA convgroup 0.40683745025083 0.012987935555908 31.3242584627522 1023.00324147636 1.4419044957567e-151 1.32754938514123 0.95 1.23566729238977 1.41918441224949 CTX_RH_SUPRAMARGINAL_SUVR rh_supramarginal right rh_supramarginal #aad6e7 1 2 1
67 fixed NA convgroup 0.225458446545131 0.0116096949053697 19.419842500844 1028.1170735945 8.26632188072381e-72 0.823029857265131 0.95 0.736434492756368 0.909454107808848 CTX_RH_TEMPORALPOLE_SUVR rh_temporalpole right rh_temporalpole #aad6e7 1 2 1
68 fixed NA convgroup 0.303577225057115 0.0139644266205018 21.7393261683527 1041.42819931794 1.06348251662431e-86 0.921331597442248 0.95 0.833877278092752 1.00859786886439 CTX_RH_TRANSVERSETEMPORAL_SUVR rh_transversetemporal right rh_transversetemporal #aad6e7 1 2 1
