rois,term,estimate,std.error,statistic,p.value,term.1,d,CI,CI_low,CI_high,yearsBeforeAB,analysis,desctext,othertext,typetext,src,pInd,pIndFDR,FDRind,pCol,roi,sigdirection
lh_transversetemporal_thickness.aparcnative71,convgroup,0.0277378179172177,0.0232890028437788,1.19102643008295,0.235228998039411,convgroup,0.178542410355758,0.95,-0.116102211281544,0.472687773214324,1,analysnum2matchF1procLONGpredAB0singleT0reproduce2,reduced,_Yintonly,level,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum2matchF1procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum2matchF1procLONGpredAB0singleT0reproduce2_Yintonly.csv,0,0,0,NA,lh_transversetemporal,NA
lh_insula_thickness.aparcnative71,convgroup,0.0550442369823889,0.0198903801627691,2.76737983547549,0.00624830650028651,convgroup,0.414847776435406,0.95,0.117327080872538,0.711227262474568,1,analysnum2matchF1procLONGpredAB0singleT0reproduce2,reduced,_Yintonly,level,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum2matchF1procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum2matchF1procLONGpredAB0singleT0reproduce2_Yintonly.csv,1,2,1,#aad6e7,lh_insula,positive_fdrsig
lh_MeanThickness_thickness.aparcnative71,convgroup,0.0362476614998752,0.0107908935966798,3.35909729580022,0.000956569213440465,convgroup,0.503549973924514,0.95,0.204439390783615,0.801288308073631,1,analysnum2matchF1procLONGpredAB0singleT0reproduce2,reduced,_Yintonly,level,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum2matchF1procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum2matchF1procLONGpredAB0singleT0reproduce2_Yintonly.csv,1,2,1,#aad6e7,lh_MeanThickness,positive_fdrsig
rh_bankssts_thickness.aparcnative71,convgroup,0.0204950339714233,0.020064256424077,1.02146989842242,0.308418134856033,convgroup,0.153124811644597,0.95,-0.14133017806535,0.447151157873947,1,analysnum2matchF1procLONGpredAB0singleT0reproduce2,reduced,_Yintonly,level,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum2matchF1procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum2matchF1procLONGpredAB0singleT0reproduce2_Yintonly.csv,0,0,0,NA,rh_bankssts,NA
rh_caudalanteriorcingulate_thickness.aparcnative71,convgroup,0.0358767844590777,0.0261339270100628,1.37280495370112,0.171540066502577,convgroup,0.205792163121897,0.95,-0.0890818146381374,0.500091381647256,1,analysnum2matchF1procLONGpredAB0singleT0reproduce2,reduced,_Yintonly,level,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum2matchF1procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum2matchF1procLONGpredAB0singleT0reproduce2_Yintonly.csv,0,0,0,NA,rh_caudalanteriorcingulate,NA
rh_caudalmiddlefrontal_thickness.aparcnative71,convgroup,0.0346216822881759,0.0153191761368103,2.26002246981049,0.0250315945875523,convgroup,0.338791691793131,0.95,0.0424142971898975,0.634230866371414,1,analysnum2matchF1procLONGpredAB0singleT0reproduce2,reduced,_Yintonly,level,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum2matchF1procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum2matchF1procLONGpredAB0singleT0reproduce2_Yintonly.csv,1,1,0,#aad6e7,rh_caudalmiddlefrontal,positive_sigonly
rh_cuneus_thickness.aparcnative71,convgroup,0.00592237215484918,0.0158626543406685,0.373353161939958,0.709329878751589,convgroup,0.0559680052121604,0.95,-0.23797897806805,0.349757937605026,1,analysnum2matchF1procLONGpredAB0singleT0reproduce2,reduced,_Yintonly,level,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum2matchF1procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum2matchF1procLONGpredAB0singleT0reproduce2_Yintonly.csv,0,0,0,NA,rh_cuneus,NA
rh_entorhinal_thickness.aparcnative71,convgroup,0.0214712783056839,0.0431795011769739,0.497256284126176,0.61962199500096,convgroup,0.0745418685009797,0.95,-0.219475576463888,0.368350226377258,1,analysnum2matchF1procLONGpredAB0singleT0reproduce2,reduced,_Yintonly,level,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum2matchF1procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum2matchF1procLONGpredAB0singleT0reproduce2_Yintonly.csv,0,0,0,NA,rh_entorhinal,NA
rh_fusiform_thickness.aparcnative71,convgroup,0.0284344195860449,0.0174752989860008,1.62712063517902,0.105480374339915,convgroup,0.24391569557715,0.95,-0.0513242171482926,0.538475741534964,1,analysnum2matchF1procLONGpredAB0singleT0reproduce2,reduced,_Yintonly,level,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum2matchF1procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum2matchF1procLONGpredAB0singleT0reproduce2_Yintonly.csv,0,0,0,NA,rh_fusiform,NA
rh_inferiorparietal_thickness.aparcnative71,convgroup,0.0319272093556599,0.014902560475857,2.14239757036274,0.0335203363773937,convgroup,0.321158973882924,0.95,0.0250173339847064,0.61641000745056,1,analysnum2matchF1procLONGpredAB0singleT0reproduce2,reduced,_Yintonly,level,/cluster/projects/p274/projects/p040-ad_change/Berkeley/results/cortmaps/analysnum2matchF1procLONGpredAB0singleT0reproduce2/thickness/thickness_cortmapAB1_nTime2_analysnum2matchF1procLONGpredAB0singleT0reproduce2_Yintonly.csv,1,1,0,#aad6e7,rh_inferiorparietal,positive_sigonly
