ROI SUVR plotrois hemi label SUVR_above_reference predictedYearsBeforepredAB
CTX_RH_SUPRAMARGINAL_SUVR 1.0671684626281 rh_supramarginal right rh_supramarginal 1.0671684626281 2
CTX_RH_TEMPORALPOLE_SUVR 0.903399004678036 rh_temporalpole right rh_temporalpole NA 2
CTX_RH_TRANSVERSETEMPORAL_SUVR 1.018977105239 rh_transversetemporal right rh_transversetemporal 1.018977105239 2
CTX_LH_BANKSSTS_SUVR 1.210188893058 lh_bankssts left lh_bankssts 1.210188893058 3
CTX_LH_CAUDALANTERIORCINGULATE_SUVR 1.13607831296989 lh_caudalanteriorcingulate left lh_caudalanteriorcingulate 1.13607831296989 3
CTX_LH_CAUDALMIDDLEFRONTAL_SUVR 1.07712336351129 lh_caudalmiddlefrontal left lh_caudalmiddlefrontal 1.07712336351129 3
CTX_LH_CUNEUS_SUVR 1.08395313473074 lh_cuneus left lh_cuneus 1.08395313473074 3
CTX_LH_ENTORHINAL_SUVR 0.889762858668859 lh_entorhinal left lh_entorhinal NA 3
CTX_LH_FRONTALPOLE_SUVR 0.843809562347777 lh_frontalpole left lh_frontalpole NA 3
CTX_LH_FUSIFORM_SUVR 1.06622078741585 lh_fusiform left lh_fusiform 1.06622078741585 3
CTX_LH_INFERIORPARIETAL_SUVR 1.07493818224321 lh_inferiorparietal left lh_inferiorparietal 1.07493818224321 3
CTX_LH_INFERIORTEMPORAL_SUVR 1.03746034871517 lh_inferiortemporal left lh_inferiortemporal 1.03746034871517 3
CTX_LH_INSULA_SUVR 1.01052092753779 lh_insula left lh_insula 1.01052092753779 3
CTX_LH_ISTHMUSCINGULATE_SUVR 1.14270465369821 lh_isthmuscingulate left lh_isthmuscingulate 1.14270465369821 3
CTX_LH_LATERALOCCIPITAL_SUVR 1.07384151709029 lh_lateraloccipital left lh_lateraloccipital 1.07384151709029 3
CTX_LH_LATERALORBITOFRONTAL_SUVR 1.09165110200196 lh_lateralorbitofrontal left lh_lateralorbitofrontal 1.09165110200196 3
CTX_LH_LINGUAL_SUVR 1.02508537612166 lh_lingual left lh_lingual 1.02508537612166 3
CTX_LH_MEDIALORBITOFRONTAL_SUVR 1.00836048742661 lh_medialorbitofrontal left lh_medialorbitofrontal 1.00836048742661 3
CTX_LH_MIDDLETEMPORAL_SUVR 0.989770312970708 lh_middletemporal left lh_middletemporal NA 3
CTX_LH_PARACENTRAL_SUVR 1.08930662984193 lh_paracentral left lh_paracentral 1.08930662984193 3
CTX_LH_PARAHIPPOCAMPAL_SUVR 0.942813530400904 lh_parahippocampal left lh_parahippocampal NA 3
CTX_LH_PARSOPERCULARIS_SUVR 1.05239353560077 lh_parsopercularis left lh_parsopercularis 1.05239353560077 3
